id,month,year,production
34,1,2021,232260.17
34,2,2021,205673.47
34,3,2021,191322.04
34,4,2021,193284.28
280,1,2021,183188.74
280,2,2021,171188.04
280,3,2021,192138.5
280,4,2021,211549.19
90,1,2021,224468.02
90,2,2021,205574.84
90,3,2021,207943.25
90,4,2021,219691.77
251,1,2021,172978.3
251,2,2021,162594.77
251,3,2021,171873.05
251,4,2021,170969.32
202,1,2021,469447.99
202,2,2021,428497.45
202,3,2021,449489.98
202,4,2021,449661.32
69,1,2021,268913.75
69,2,2021,240398.41
69,3,2021,264994.21
69,4,2021,242597.67
154,1,2021,132634.86
154,2,2021,114267.71
154,3,2021,127261.44
154,4,2021,136738.05
82,1,2021,135598.46
82,2,2021,112038.72
82,3,2021,123674.62
82,4,2021,139890.76
56,1,2021,110713.99
56,2,2021,110453.8
56,3,2021,123495.45
56,4,2021,125678.46
282,1,2021,134871.94
282,2,2021,121878.47
282,3,2021,130948.57
282,4,2021,133077.31
114,1,2021,72015.92
114,2,2021,62032.17
114,3,2021,73164.77
114,4,2021,73739.19
186,1,2021,199687.12
186,2,2021,179608.65
186,3,2021,188753.63
186,4,2021,198784.17
229,1,2021,191157.13
229,2,2021,169475.24
229,3,2021,185751.22
229,4,2021,177099.64
234,1,2021,56374.63
234,2,2021,46407.66
234,3,2021,60355.94
234,4,2021,61483.67
201,1,2021,173836.52
201,2,2021,151382.22
201,3,2021,173633.41
201,4,2021,178815.23
220,1,2021,431134.67
220,2,2021,362550.91
220,3,2021,396793.82
220,4,2021,388506.33
227,1,2021,789095.49
227,2,2021,708412.86
227,3,2021,730618.18
227,4,2021,708163.35
105,1,2021,246190.46
105,2,2021,219416.33
105,3,2021,217623.86
105,4,2021,239190.86
193,1,2021,359139.59
193,2,2021,306031.32
193,3,2021,268645.75
193,4,2021,273187.4
239,1,2021,157368.88
239,2,2021,132945.36
239,3,2021,143833.19
239,4,2021,153936.32
39,1,2021,277310.02
39,2,2021,238736.12
39,3,2021,230832.97
39,4,2021,270469.5
188,1,2021,219704.25
188,2,2021,182741.45
188,3,2021,203042.76
188,4,2021,204026.06
248,1,2021,344319.14
248,2,2021,306617.15
248,3,2021,340207.71
248,4,2021,290322.81
57,1,2021,77082.05
57,2,2021,68697.51
57,3,2021,73754.54
57,4,2021,80237.19
225,1,2021,77082.05
225,2,2021,68697.51
225,3,2021,73754.54
225,4,2021,80237.19
208,1,2021,265152.98
208,2,2021,232735.85
208,3,2021,257721.92
208,4,2021,244205.84
228,1,2021,191839.87
228,2,2021,181350.29
228,3,2021,177756.9
228,4,2021,163669.31
111,1,2021,317290.63
111,2,2021,262237.82
111,3,2021,236160.66
111,4,2021,308890.4
265,1,2021,364530.7
265,2,2021,350445.33
265,3,2021,363150.82
265,4,2021,347420.39
120,1,2021,271899.99
120,2,2021,265076.65
120,3,2021,242050.6
120,4,2021,239525.93
176,1,2021,63587.66
176,2,2021,50484.28
176,3,2021,50645.83
176,4,2021,61308.76
68,1,2021,94374.04
68,2,2021,89117.52
68,3,2021,89174.32
68,4,2021,90457.27
262,1,2021,43975.41
262,2,2021,39660.37
262,3,2021,48131.79
262,4,2021,49296.67
159,1,2021,187707.35
159,2,2021,168787.18
159,3,2021,194273.34
159,4,2021,191728.0
130,1,2021,89751.38
130,2,2021,80049.0
130,3,2021,88780.84
130,4,2021,91521.56
207,1,2021,279152.45
207,2,2021,253344.27
207,3,2021,304686.65
207,4,2021,310177.99
24,1,2021,99026.35
24,2,2021,81992.24
24,3,2021,92945.82
24,4,2021,74783.17
135,1,2021,431926.24
135,2,2021,411639.47
135,3,2021,431701.8
135,4,2021,388030.89
231,1,2021,77050.18
231,2,2021,69430.14
231,3,2021,63006.94
231,4,2021,73788.21
143,1,2021,241404.86
143,2,2021,219912.39
143,3,2021,227454.85
143,4,2021,210859.84
43,1,2021,66760.28
43,2,2021,57630.0
43,3,2021,65376.59
43,4,2021,54712.06
157,1,2021,244789.84
157,2,2021,217171.53
157,3,2021,250776.44
157,4,2021,245150.93
181,1,2021,155748.71
181,2,2021,141067.19
181,3,2021,159585.0
181,4,2021,144350.15
258,1,2021,511363.37
258,2,2021,468277.81
258,3,2021,501702.1
258,4,2021,465128.01
40,1,2021,164992.8
40,2,2021,148366.66
40,3,2021,166476.55
40,4,2021,154587.15
70,1,2021,153784.59
70,2,2021,153833.45
70,3,2021,142892.52
70,4,2021,142941.38
246,1,2021,165234.59
246,2,2021,152644.92
246,3,2021,163667.39
246,4,2021,118428.81
283,1,2021,307912.79
283,2,2021,284193.54
283,3,2021,251833.59
283,4,2021,261174.36
20,1,2021,32597.48
20,2,2021,34987.2
20,3,2021,30476.08
20,4,2021,25699.55
2,1,2021,69022.52
2,2,2021,62904.92
2,3,2021,51417.38
2,4,2021,68521.15
133,1,2021,156040.57
133,2,2021,111523.86
133,3,2021,124484.19
133,4,2021,135338.02
256,1,2021,449877.06
256,2,2021,391815.28
256,3,2021,348578.08
256,4,2021,445247.82
8,1,2021,702575.75
8,2,2021,645228.69
8,3,2021,704652.89
8,4,2021,664377.65
172,1,2021,98936.47
172,2,2021,81134.2
172,3,2021,96186.33
172,4,2021,104125.66
44,1,2021,203077.94
44,2,2021,178824.25
44,3,2021,195244.5
44,4,2021,204599.32
93,1,2021,74572.07
93,2,2021,59202.94
93,3,2021,71282.95
93,4,2021,81218.49
45,1,2021,56264.42
45,2,2021,59796.05
45,3,2021,69742.8
45,4,2021,67534.58
25,1,2021,59671.93
25,2,2021,46176.58
25,3,2021,54034.11
25,4,2021,63226.18
259,1,2021,262281.59
259,2,2021,221616.14
259,3,2021,213072.57
259,4,2021,210441.0
145,1,2021,335038.69
145,2,2021,302813.72
145,3,2021,289613.25
145,4,2021,262255.01
163,1,2021,221545.98
163,2,2021,175813.51
163,3,2021,266768.1
163,4,2021,270740.01
136,1,2021,56355.0
136,2,2021,45952.06
136,3,2021,51024.99
136,4,2021,54550.33
264,1,2021,172474.76
264,2,2021,169461.29
264,3,2021,168125.27
264,4,2021,169584.98
165,1,2021,121856.62
165,2,2021,111268.19
165,3,2021,115461.14
165,4,2021,126347.56
164,1,2021,196739.34
164,2,2021,186275.43
164,3,2021,185149.32
164,4,2021,179963.31
142,1,2021,263462.49
142,2,2021,239403.41
142,3,2021,252783.56
142,4,2021,270605.64
109,1,2021,208105.36
109,2,2021,198993.53
109,3,2021,193910.57
109,4,2021,193360.11
100,1,2021,274796.89
100,2,2021,247068.78
100,3,2021,269397.59
100,4,2021,245461.67
152,1,2021,448647.98
152,2,2021,404186.38
152,3,2021,425227.39
152,4,2021,384718.54
266,1,2021,171392.08
266,2,2021,145279.96
266,3,2021,173898.12
266,4,2021,152672.64
73,1,2021,102090.62
73,2,2021,89139.96
73,3,2021,97698.57
73,4,2021,90125.23
54,1,2021,130870.53
54,2,2021,120187.9
54,3,2021,137677.82
54,4,2021,135532.32
7,1,2021,628370.91
7,2,2021,540307.23
7,3,2021,448325.86
7,4,2021,424251.12
36,1,2021,340442.46
36,2,2021,311724.84
36,3,2021,338910.18
36,4,2021,336830.88
128,1,2021,164967.29
128,2,2021,146319.6
128,3,2021,158392.0
128,4,2021,159252.69
9,1,2021,102258.52
9,2,2021,89955.99
9,3,2021,110328.92
9,4,2021,105287.6
108,1,2021,211089.45
108,2,2021,228688.94
108,3,2021,236852.15
108,4,2021,217380.5
127,1,2021,169506.25
127,2,2021,172021.27
127,3,2021,170823.99
127,4,2021,155838.17
194,1,2021,136856.86
194,2,2021,121809.93
194,3,2021,109531.62
194,4,2021,133245.49
15,1,2021,82017.61
15,2,2021,70838.83
15,3,2021,67909.93
15,4,2021,81939.1
52,1,2021,386534.28
52,2,2021,346030.11
52,3,2021,352603.95
52,4,2021,283276.51
155,1,2021,66521.31
155,2,2021,55599.92
155,3,2021,58091.17
155,4,2021,62115.3
77,1,2021,759700.69
77,2,2021,681009.46
77,3,2021,732950.85
77,4,2021,666983.58
131,1,2021,91815.97
131,2,2021,87435.41
131,3,2021,89408.54
131,4,2021,82717.55
98,1,2021,146043.13
98,2,2021,127291.95
98,3,2021,136243.58
98,4,2021,146175.84
101,1,2021,249781.9
101,2,2021,226816.22
101,3,2021,232723.4
101,4,2021,226909.92
182,1,2021,173667.73
182,2,2021,163306.87
182,3,2021,164581.4
182,4,2021,166687.03
139,1,2021,332444.52
139,2,2021,282842.09
139,3,2021,301776.55
139,4,2021,294714.26
267,1,2021,330356.15
267,2,2021,295614.67
267,3,2021,303307.54
267,4,2021,335292.54
84,1,2021,165057.27
84,2,2021,139915.76
84,3,2021,160101.2
84,4,2021,162155.86
179,1,2021,217043.65
179,2,2021,202466.06
179,3,2021,182733.55
179,4,2021,138439.34
263,1,2021,215862.08
263,2,2021,199447.96
263,3,2021,152489.16
263,4,2021,135766.51
86,1,2021,157716.58
86,2,2021,141465.73
86,3,2021,134911.65
86,4,2021,123378.15
275,1,2021,146837.15
275,2,2021,128764.76
275,3,2021,132673.99
275,4,2021,116336.99
215,1,2021,65807.08
215,2,2021,83992.08
215,3,2021,55298.37
215,4,2021,57857.13
3,1,2021,146837.15
3,2,2021,128764.76
3,3,2021,132673.99
3,4,2021,116336.99
240,1,2021,65807.08
240,2,2021,83992.08
240,3,2021,55298.37
240,4,2021,57857.13
245,1,2021,161090.04
245,2,2021,144109.04
245,3,2021,148735.82
245,4,2021,145350.72
23,1,2021,191371.45
23,2,2021,167331.9
23,3,2021,184302.68
23,4,2021,169891.64
173,1,2021,345936.17
173,2,2021,333918.2
173,3,2021,352939.33
173,4,2021,325163.05
122,1,2021,229333.74
122,2,2021,170349.24
122,3,2021,201104.84
122,4,2021,157727.32
166,1,2021,141083.46
166,2,2021,125467.78
