id,month,year,production
34,1,2021,228543.5
34,2,2021,209201.18
34,3,2021,180629.23
34,4,2021,190256.26
280,1,2021,159045.42
280,2,2021,159045.42
280,3,2021,206249.88
280,4,2021,221639.82
90,1,2021,229402.43
90,2,2021,230000.8
90,3,2021,230000.8
90,4,2021,229002.2
251,1,2021,162113.63
251,2,2021,158857.48
251,3,2021,169987.15
251,4,2021,183278.52
202,1,2021,481190.12
202,2,2021,435885.25
202,3,2021,444065.83
202,4,2021,445470.81
69,1,2021,282550.71
69,2,2021,218741.92
69,3,2021,282527.37
69,4,2021,216900.82
154,1,2021,123955.14
154,2,2021,101400.83
154,3,2021,106709.85
154,4,2021,132015.31
82,1,2021,138489.71
82,2,2021,109556.86
82,3,2021,119983.9
82,4,2021,139439.03
56,1,2021,97798.54
56,2,2021,105737.99
56,3,2021,121018.46
56,4,2021,121671.76
282,1,2021,132183.77
282,2,2021,125750.43
282,3,2021,127125.49
282,4,2021,126731.28
114,1,2021,70046.16
114,2,2021,71420.33
114,3,2021,73952.99
114,4,2021,73952.99
186,1,2021,201971.12
186,2,2021,182646.06
186,3,2021,188635.84
186,4,2021,206076.09
229,1,2021,210892.86
229,2,2021,208669.76
229,3,2021,210772.33
229,4,2021,205360.99
234,1,2021,55193.53
234,2,2021,49881.09
234,3,2021,58124.96
234,4,2021,58124.96
201,1,2021,178033.16
201,2,2021,146087.41
201,3,2021,168512.07
201,4,2021,181479.59
220,1,2021,425165.79
220,2,2021,360923.73
220,3,2021,389552.73
220,4,2021,402566.88
227,1,2021,801954.97
227,2,2021,746203.8
227,3,2021,750150.3
227,4,2021,746203.8
105,1,2021,220915.32
105,2,2021,195854.93
105,3,2021,199006.69
105,4,2021,257764.51
193,1,2021,342877.78
193,2,2021,323118.4
193,3,2021,271456.13
193,4,2021,270313.77
239,1,2021,172548.77
239,2,2021,138580.45
239,3,2021,155560.83
239,4,2021,173440.94
39,1,2021,283302.22
39,2,2021,234166.17
39,3,2021,233802.86
39,4,2021,260365.55
188,1,2021,262457.44
188,2,2021,194819.87
188,3,2021,218908.6
188,4,2021,218465.31
248,1,2021,350548.05
248,2,2021,313487.43
248,3,2021,347179.57
248,4,2021,274379.6
57,1,2021,74409.25
57,2,2021,71328.31
57,3,2021,77516.5
57,4,2021,78849.22
225,1,2021,74409.25
225,2,2021,71328.31
225,3,2021,77516.5
225,4,2021,78567.27
208,1,2021,242546.38
208,2,2021,232089.75
208,3,2021,248271.0
208,4,2021,241430.65
228,1,2021,189383.21
228,2,2021,182815.76
228,3,2021,172625.43
228,4,2021,170558.73
111,1,2021,286714.08
111,2,2021,253112.11
111,3,2021,251173.09
111,4,2021,294413.6
265,1,2021,341935.45
265,2,2021,336429.32
265,3,2021,335346.6
265,4,2021,334929.6
120,1,2021,260169.41
120,2,2021,227411.91
120,3,2021,213870.45
120,4,2021,221712.27
176,1,2021,66459.35
176,2,2021,51456.36
176,3,2021,52287.66
176,4,2021,66582.78
68,1,2021,103977.93
68,2,2021,77071.84
68,3,2021,76610.6
68,4,2021,77071.84
262,1,2021,42475.95
262,2,2021,40741.35
262,3,2021,48585.02
262,4,2021,50034.2
159,1,2021,179332.99
159,2,2021,166077.1
159,3,2021,185712.38
159,4,2021,184306.83
130,1,2021,91265.78
130,2,2021,77789.03
